metadata,category,readcode,readterm,medcode
Name: ethnicity_cprd_gold,1,9S10.00,White British,12446
Version: 4                          ,1,9S13.00,White Scottish,26467
Source: cprd,1,9S14.00,Other white British ethnic group,26310
Author: Neha Pathak ,1,9i00.00,White British - ethnic category 2001 census,98111
Date: 24 Oct 2019    ,1,9i20.00,English - ethnic category 2001 census,12352
Categories:,1,9i21.00,Scottish - ethnic category 2001 census,12436
1. White British,1,9i22.00,Welsh - ethnic category 2001 census,12681
2. White Irish,1,9i23.00,Cornish - ethnic category 2001 census,28887
3. White Other,2,9S11.00,White Irish,24837
4. White NOS,2,9SA9.00,Irish (NMO),24270
5. Mixed White and Black,2,9SI..00,Irish traveller,47601
6. Mixed White and Asian,2,9i1..00,Irish - ethnic category 2001 census,12532
7. Mixed Asian and Black,2,9i10.00,White Irish - ethnic category 2001 census,98213
8. Mixed Other,2,9i24.00,Northern Irish - ethnic category 2001 census,42294
9. Mixed NOS,2,9i2C.00,Irish Traveller - ethnic category 2001 census,55223
10. Indian,3,9S12.00,Other white ethnic group,12444
11. Pakistani,3,9SAA.00,Greek/Greek Cypriot (NMO),45947
12. Bangladeshi,3,9SAA.11,Greek (NMO),45955
13. Other Asian,3,9SAA.12,Greek Cypriot (NMO),47949
14. Black Caribbean,3,9SAB.00,Turkish/Turkish Cypriot (NMO),32066
15. Black African,3,9SAB.11,Turkish (NMO),32126
16. Black Other,3,9SAB.12,Turkish Cypriot (NMO),32069
17. Chinese,3,9SAC.00,Other European (NMO),12633
18. Other ethnic group,3,9T1..00,New Zealand ethnic groups,45008
19. Ethnic group not specified,3,9T1Y.00,Other New Zealand ethnic group,96789
,3,9T1Z.00,New Zealand ethnic group NOS,71425
,3,9i2..00,Other White background - ethnic category 2001 census,12421
,3,9i26.00,Cypriot (part not stated) - ethnic category 2001 census,32778
,3,9i27.00,Greek - ethnic category 2001 census,12355
,3,9i28.00,Greek Cypriot - ethnic category 2001 census,12769
,3,9i29.00,Turkish - ethnic category 2001 census,12746
,3,9i2A.00,Turkish Cypriot - ethnic category 2001 census,32413
,3,9i2B.00,Italian - ethnic category 2001 census,12412
,3,9i2D.00,Traveller - ethnic category 2001 census,55113
,3,9i2E.00,Gypsy/Romany - ethnic category 2001 census,42290
,3,9i2F.00,Polish - ethnic category 2001 census,12467
,3,9i2G.00,Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census,12433
,3,9i2H.00,Commonwealth (Russian) Indep States - ethn categ 2001 census,28973
,3,9i2J.00,Kosovan - ethnic category 2001 census,26341
,3,9i2K.00,Albanian - ethnic category 2001 census,25422
,3,9i2L.00,Bosnian - ethnic category 2001 census,46956
,3,9i2M.00,Croatian - ethnic category 2001 census,28866
,3,9i2N.00,Serbian - ethnic category 2001 census,47074
,3,9i2P.00,Other republics former Yugoslavia - ethnic categ 2001 census,28936
,3,9i2T.00,Other White or White unspecified ethnic category 2001 census,12591
,4,9S1..00,White,22467
,4,9SB3.00,"Other ethnic, mixed white orig",35459
,4,9i25.00,Ulster Scots - ethnic category 2001 census,40102
,4,9i2Q.00,Mixed Irish and other White - ethnic category 2001 census,26391
,4,9i2R.00,Oth White European/European unsp/Mixed European 2001 census,12402
,4,9i2S.00,Other mixed White - ethnic category 2001 census,28900
,5,9SB5.00,Black Caribbean and White,32425
,5,9SB6.00,Black African and White,32443
,5,9i3..00,White and Black Caribbean - ethnic category 2001 census,12742
,5,9i4..00,White and Black African - ethnic category 2001 census,12437
,6,9SB2.00,"Other ethnic, Asian/White orig",32401
,6,9i5..00,White and Asian - ethnic category 2001 census,12638
,7,9S45.00,Black E Afric Asia/Indo-Caribb,47965
,7,9S45.11,Black East African Asian,57753
,7,9S45.12,Black Indo-Caribbean,57763
,7,9S46.00,Black Indian sub-continent,48005
,7,9S47.00,Black - other Asian,35350
,7,9S52.00,Other Black - Black/Asian orig,32165
,7,9SA6.00,E Afric Asian/Indo-Carib (NMO),38097
,7,9i60.00,Black and Asian - ethnic category 2001 census,12795
,7,9i61.00,Black and Chinese - ethnic category 2001 census,49940
,7,9iA7.00,Caribbean Asian - ethnic category 2001 census,32399
,8,9SB..00,"Other ethnic, mixed origin",12696
,8,9SB4.00,"Other ethnic, other mixed orig",32420
,8,9i6..00,Other Mixed background - ethnic category 2001 census,12873
,8,9i63.00,Chinese and White - ethnic category 2001 census,12706
,8,9i64.00,Asian and Chinese - ethnic category 2001 census,47005
,8,9i65.00,Other Mixed or Mixed unspecified ethnic category 2001 census,32408
,9,9S51.00,Other Black - Black/White orig,25623
,9,9SB1.00,"Other ethnic, Black/White orig",47401
,9,9i62.00,Black and White - ethnic category 2001 census,40110
,10,9S6..00,Indian,12482
,10,9SA7.00,Indian sub-continent (NMO),39696
,10,9i7..00,Indian or British Indian - ethnic category 2001 census,12414
,10,9iA1.00,Punjabi - ethnic category 2001 census,26392
,11,9S7..00,Pakistani,24690
,11,9i8..00,Pakistani or British Pakistani - ethnic category 2001 census,12460
,11,9iA2.00,Kashmiri - ethnic category 2001 census,64133
,12,9S8..00,Bangladeshi,24740
,12,9i9..00,Bangladeshi or British Bangladeshi - ethn categ 2001 census,28888
,13,9SA6.11,East African Asian (NMO),46818
,13,9SA8.00,Other Asian (NMO),26379
,13,9SH..00,Other Asian ethnic group,12668
,13,9iA..00,Other Asian background - ethnic category 2001 census,12513
,13,9iA3.00,East African Asian - ethnic category 2001 census,47077
,13,9iA8.00,British Asian - ethnic category 2001 census,12653
,13,9iA9.00,Mixed Asian - ethnic category 2001 census,46056
,13,9iAA.00,Other Asian or Asian unspecified ethnic category 2001 census,28935
