metadata,category,readcode,readterm,medcode
Name: migration_cprd_gold,1,1343,Asian origin,25801
Version: 1                          ,1,1345,South American origin,32101
Source: cprd gold,1,2263.11,O/E - Asian origin,32132
Author: Neha Pathak / Rachel Burns / Rob Aldridge         ,1,1344,North American origin,41150
Date: 2/10/2019    ,1,1342,African origin,45125
Categories:,1,134A.00,West Indian origin,45131
1. Non-UK origin,1,1347,Indian origin,45144
2. Born outside of the UK,1,1348,Middle Eastern origin,47951
3. First/main language not English,1,9SA5.00,Other African countries (NMO),47969
4. Visa status indicating migration,1,1346,Australian origin,47975
,1,2263,O/E - Mongoloid origin,66536
,2,13e..00,Country of birth (Asian),11552
,2,13gf.00,Born in South Africa,12458
,2,13eG.00,Born in Iraq,12713
,2,13eH.00,Born in Israel,25007
,2,13go.00,Born in Zimbabwe,25008
,2,13eY.00,Born in Philippines,25092
,2,13gi.00,Born in Tanzania,25133
,2,13dl.00,Born in Yugoslavia,25256
,2,13gC.00,Born in Congo,25664
,2,13dM.00,Born in Kosovo,25730
,2,13eW.00,Born in Pakistan,25995
,2,13eo.00,Born in Vietnam,26334
,2,13eF.00,Born in Iran,26426
,2,13dA.00,Born in Czech Republic,26463
,2,13dP.00,Born in Lithuania,28301
,2,13eg.00,Born in Syria,28529
,2,13gY.00,Born in Niger,30224
,2,13f5.00,Born in Canada,30606
,2,13f..00,Country of birth (American),32053
,2,13d0.00,Born in Albania,32055
,2,13e8.00,Born in China,32058
,2,13e0.00,Born in Afghanistan,32060
,2,13h0.00,Born in Australia,32061
,2,13jC.00,Born in Trinidad and Tobago,32062
,2,13gJ.00,Born in Ghana,32067
,2,13gl.00,Born in Uganda,32068
,2,13eI.00,Born in Japan,32070
,2,13fL.00,Born in USA,32072
,2,13h1.00,Born in New Zealand,32074
,2,13f3.00,Born in Brazil,32075
,2,13j6.00,Born in Jamaica,32076
,2,13g0.00,Born in Algeria,32079
,2,13dH.00,Born in Greece,32080
,2,13dF.00,Born in France,32081
,2,13eD.00,Born in India,32082
,2,13dG.00,Born in Germany,32085
,2,13j2.00,Born in Barbados,32089
,2,13fN.00,Born in Venezuela,32090
,2,13dW.00,Born in Poland,32094
,2,13de.00,Born in Spain,32097
,2,13df.00,Born in Sweden,32098
,2,13gM.00,Born in Ivory Coast,32099
,2,13g..00,Country of birth (African),32102
,2,13di.00,Born in Ukraine,32103
,2,13gV.00,Born in Morocco,32108
,2,13gZ.00,Born in Nigeria,32111
,2,13gN.00,Born in Kenya,32112
,2,13dK.00,Born in Ireland,32113
,2,13ek.00,Born in Turkey,32114
,2,13gS.00,Born in Malawi,32115
,2,13dL.00,Born in Italy,32116
,2,13dc.00,Born in Slovakia,32119
,2,13fB.00,Born in Grenada,32120
,2,13e3.00,Born in Bangladesh,32125
,2,13eb.00,Born in Russia,32127
,2,13eM.00,Born in Kyrgyzstan,32128
,2,13j9.00,Born in St. Lucia,32131
,2,13ej.00,Born in Thailand,32135
,2,13dD.00,Born in Estonia,32139
,2,13gU.00,Born in Mauritius,32140
,2,13ec.00,Born in Saudi Arabia,32144
,2,13dh.00,Born in The Netherlands,32150
,2,13ed.00,Born in Singapore,32157
,2,13gG.00,Born in Ethiopia,32158
,2,13dX.00,Born in Portugal,32160
,2,13gW.00,Born in Mozambique,32162
,2,13fJ.00,Born in Peru,32166
,2,13g5.00,Born in Burundi,32167
,2,13gn.00,Born in Zambia,32168
,2,13d7.00,Born in Bulgaria,32169
,2,13eP.00,Born in Malaysia,32171
,2,13dE.00,Born in Finland,32173
,2,13dB.00,Born in Denmark,32186
,2,13ge.00,Born in Somalia,32189
,2,13d9.00,Born in Cyprus,32190
,2,13gd.00,Born in Sierra Leone,32197
,2,13fF.00,Born in Mexico,32201
,2,13e7.00,Born in Chechnya,32202
,2,13gI.00,Born in Gambia,32207
,2,13eT.00,Born in Nepal,32217
,2,13eC.00,Born in Hong Kong,32220
,2,13gX.00,Born in Namibia,32233
,2,13gP.00,Born in Liberia,32237
,2,13dN.00,Born in Latvia,32242
,2,13ef.00,Born in Sri Lanka,32245
,2,13e6.00,Born in Burma,32254
,2,13g7.00,Born in Cameroon,32255
,2,13g1.00,Born in Angola,32260
,2,13e2.00,Born in Bahrain,32273
,2,13k4.00,Born in Seychelles,32293
,2,13j0.00,Born in Antigua and Barbuda,32301
,2,13f7.00,Born in Columbia,32303
,2,13jB.00,Born in Togo,32304
,2,13gc.00,Born in Senegal,32309
,2,13f9.00,Born in Ecuador,32311
,2,13d2.00,Born in Austria,32313
,2,13f0.00,Born in Argentina,32325
,2,13ga.00,Born in Rwanda,32331
,2,13gE.00,Born in Egypt,32333
,2,13f4.00,Born in British Guyana,32342
,2,13dZ.00,Born in Romania,32345
,2,13gL.00,Born in Guinea Republic,32347
,2,13d4.00,Born in Belgium,32352
,2,13e1.00,Born in Armenia,32361
,2,13j4.00,Born in Dominican Republic,32369
,2,13eh.00,Born in Taiwan,32390
,2,13d6.00,Born in Bosnia - Herzegovnia,32397
,2,13k..00,Country of birth (Pacific),32417
,2,13dI.00,Born in Hungary,32688
,2,13gk.00,Born in Tunisia,32741
,2,13dg.00,Born in Switzerland,32807
,2,13gg.00,Born in Sudan,36794
,2,13gR.00,Born in Madagascar,37197
,2,13fD.00,Born in Guyana,38075
,2,13gA.00,Born in Chad,38117
,2,13dS.00,Born in Moldavia,39974
,2,13gm.00,Born in Zaire,41209
,2,13d8.00,Born in Croatia,41210
,2,13eO.00,Born in Lebanon,41211
,2,13dV.00,Born in Norway,41213
,2,13eL.00,Born in Kuwait,41217
,2,13ee.00,Born in South Korea,41228
,2,13f2.00,Born in Bolivia,41230
,2,13d5.00,Born in Belorussia,41233
,2,13fE.00,Born in Honduras,41280
,2,13eE.00,Born in Indonesia,41289
,2,13j3.00,Born in Cuba,41290
,2,13f6.00,Born in Chile,41291
,2,13eK.00,Born in Kazakhstan,41292
,2,13eX.00,Born in Palestine,41297
,2,13el.00,Born in Turkmenistan,41302
,2,13dd.00,Born in Slovenia,41304
,2,13eJ.00,Born in Jordan,41311
,2,13dJ.00,Born in Iceland,41312
,2,13g3.00,Born in Botswana,41316
,2,13g2.00,Born in Benin,41318
,2,13h..00,Country of birth (Australasian),41327
,2,13d3.00,Born in Azerbaijan,41337
,2,13gQ.00,Born in Libya,41341
,2,13ep.00,Born in Yemen,41344
,2,13gh.00,Born in Swaziland,41350
,2,13eS.00,Born in Mongolia,41351
,2,13e9.00,Born in Democratic People's Republic of Korea,41354
,2,13ea.00,Born in Republic of Korea,41356
,2,13dY.00,Born in Republic of Ireland,41357
,2,13dR.00,Born in Malta,41364
