readcode,readterm,medcode,who_region,ons_nomis_region
13e..00,Country of birth (Asian),11552,NA,Middle East & Asia
13gf.00,Born in South Africa,12458,afro,Africa
13eG.00,Born in Iraq,12713,emro,Middle East & Asia
13eH.00,Born in Israel,25007,euro,Middle East & Asia
13go.00,Born in Zimbabwe,25008,afro,Africa
13eY.00,Born in Philippines,25092,wpro,Middle East & Asia
13gi.00,Born in Tanzania,25133,afro,Africa
13dl.00,Born in Yugoslavia,25256,euro,Europe
13gC.00,Born in Congo,25664,afro,Africa
13dM.00,Born in Kosovo,25730,euro,Europe
13eW.00,Born in Pakistan,25995,emro,Middle East & Asia
13eo.00,Born in Vietnam,26334,wpro,Middle East & Asia
13eF.00,Born in Iran,26426,emro,Middle East & Asia
13dA.00,Born in Czech Republic,26463,euro,Europe
13dP.00,Born in Lithuania,28301,euro,Europe
13eg.00,Born in Syria,28529,emro,Middle East & Asia
13gY.00,Born in Niger,30224,afro,Africa
13f5.00,Born in Canada,30606,paho,The Americas & Caribbean
13f..00,Country of birth (American),32053,paho,The Americas & Caribbean
13d0.00,Born in Albania,32055,euro,Europe
13e8.00,Born in China,32058,wpro,Middle East & Asia
13e0.00,Born in Afghanistan,32060,emro,Middle East & Asia
13h0.00,Born in Australia,32061,wpro,Antarctica & Oceania
13jC.00,Born in Trinidad and Tobago,32062,paho,The Americas & Caribbean
13gJ.00,Born in Ghana,32067,afro,Africa
13gl.00,Born in Uganda,32068,afro,Africa
13eI.00,Born in Japan,32070,wpro,Middle East & Asia
13fL.00,Born in USA,32072,paho,The Americas & Caribbean
13h1.00,Born in New Zealand,32074,wpro,Antarctica & Oceania
13f3.00,Born in Brazil,32075,paho,The Americas & Caribbean
13j6.00,Born in Jamaica,32076,paho,The Americas & Caribbean
13g0.00,Born in Algeria,32079,afro,Africa
13dH.00,Born in Greece,32080,euro,Europe
13dF.00,Born in France,32081,euro,Europe
13eD.00,Born in India,32082,searo,Middle East & Asia
13dG.00,Born in Germany,32085,euro,Europe
13j2.00,Born in Barbados,32089,paho,The Americas & Caribbean
13fN.00,Born in Venezuela,32090,paho,The Americas & Caribbean
13dW.00,Born in Poland,32094,euro,Europe
13de.00,Born in Spain,32097,euro,Europe
13df.00,Born in Sweden,32098,euro,Europe
13gM.00,Born in Ivory Coast,32099,afro,Africa
13g..00,Country of birth (African),32102,afro,Africa
13di.00,Born in Ukraine,32103,euro,Europe
13gV.00,Born in Morocco,32108,emro,Middle East & Asia
13gZ.00,Born in Nigeria,32111,afro,Africa
13gN.00,Born in Kenya,32112,afro,Africa
13dK.00,Born in Ireland,32113,euro,Europe
13ek.00,Born in Turkey,32114,euro,Europe
13gS.00,Born in Malawi,32115,afro,Africa
13dL.00,Born in Italy,32116,euro,Europe
13dc.00,Born in Slovakia,32119,euro,Europe
